epoch,train_loss,val_loss,train_acc,val_acc
1,2.0723568460464477,1.9067900533676148,0.2241,0.274
2,1.7909384201049805,1.7291778841018677,0.3226,0.361
3,1.6504441341400147,1.634496883392334,0.3815,0.389
4,1.530995160675049,1.6293017721176148,0.4255,0.4125
5,1.4725653076171874,1.4730034217834473,0.4463,0.4415
6,1.3879421388626099,1.5045735063552856,0.4836,0.45
7,1.3585609886169434,1.3927863759994508,0.4993,0.498
8,1.3010196935653686,1.354879306793213,0.522,0.4985
9,1.2034361600875854,1.3590023632049562,0.5618,0.5185
10,1.1977747451782226,1.3087395439147949,0.5628,0.5165
11,1.1455493459701538,1.3056336011886596,0.582,0.534
12,1.0910807418823243,1.3409224910736084,0.6077,0.528
13,1.0414110570907593,1.1965978727340698,0.623,0.573
14,0.9954479961395264,1.1231152753829956,0.6382,0.5965
15,0.9420022630691528,1.1967274808883668,0.6637,0.5705
16,0.8414834489822388,1.0588943419456482,0.6953,0.6255
17,0.7986392924308777,1.0606025342941283,0.7159,0.627
18,0.7879549872398377,1.0592089591026306,0.7186,0.624
19,0.778668946838379,1.0524204096794127,0.7202,0.627
20,0.7664159614562989,1.0554581146240234,0.7297,0.6295
21,0.760219477558136,1.058589910507202,0.7297,0.6265
22,0.7514567839622498,1.0548095221519471,0.731,0.6365
23,0.741677320098877,1.0558257069587706,0.7371,0.633
24,0.7403121126174926,1.0469741921424867,0.7341,0.635
25,0.7267269092559815,1.0577280592918397,0.7358,0.633
26,0.7223264042854309,1.051339744091034,0.7402,0.6345
27,0.7117849925994874,1.048842384338379,0.7448,0.6365
28,0.7123294954299927,1.0428600130081176,0.7422,0.638
29,0.7008698790550232,1.0479052186012268,0.7501,0.645
30,0.6958308732032776,1.0508353033065796,0.7501,0.637
