epoch,train_loss,val_loss,train_acc,val_acc
1,2.1428429592132567,1.8781431999206544,0.1916,0.303
2,1.8254873407363892,1.7163470249176025,0.3118,0.359
3,1.699227877807617,1.6068530931472778,0.356,0.3895
4,1.5904759355545044,1.5787593660354615,0.4007,0.407
5,1.506435153388977,1.597560393333435,0.4343,0.436
6,1.464487396621704,1.4585728912353515,0.4555,0.4505
7,1.3742971336364747,1.3710498218536378,0.4892,0.4955
8,1.2975744691848754,1.319626148223877,0.5235,0.525
9,1.257616368484497,1.2577222805023194,0.5398,0.5475
10,1.237082992362976,1.2560440635681152,0.5499,0.541
11,1.1911161300659179,1.3002003593444824,0.57,0.5355
12,1.1358526998519898,1.1866271991729735,0.5909,0.5855
13,1.081095964050293,1.2168006706237793,0.6098,0.5755
14,1.0611181966781615,1.1284513731002808,0.6189,0.585
15,1.0413256179809571,1.1680512943267822,0.6252,0.5785
16,0.9337427182197571,1.0782235021591187,0.6639,0.618
17,0.9034469052314759,1.0595521249771118,0.6754,0.623
18,0.8813736257553101,1.053100335597992,0.6841,0.6275
19,0.874408842086792,1.0466488041877746,0.6893,0.6285
20,0.8648143896102906,1.0473213720321655,0.6925,0.633
21,0.8587504629135132,1.0426928277015686,0.6902,0.6295
22,0.850526157283783,1.0540935845375061,0.695,0.628
23,0.8361244843482971,1.0414001774787902,0.704,0.6275
24,0.8326029836654663,1.0392021861076355,0.7021,0.639
25,0.8189094838142394,1.0352440428733827,0.7069,0.6365
26,0.8134014850616456,1.0354209113121033,0.7107,0.6355
27,0.80568955078125,1.043831337928772,0.7161,0.6345
28,0.8070570026397705,1.040540018558502,0.7159,0.642
29,0.7950085478782654,1.0341224522590637,0.7152,0.6375
30,0.7886090282440186,1.0325894079208373,0.7198,0.645
