epoch,train_loss,val_loss,train_acc,val_acc
1,1.81347387008667,1.5258814992904663,0.3103,0.432
2,1.4304073427200317,1.481132098197937,0.4682,0.462
3,1.3233215673446654,1.3860944509506226,0.5148,0.513
4,1.159092632007599,1.166415898323059,0.5827,0.579
5,1.0466416507720948,1.258403636932373,0.6251,0.555
6,1.0344930932998657,1.1124743766784668,0.6365,0.6175
7,0.9248878448486328,1.031848195552826,0.6746,0.6285
8,0.8540489428520203,1.1728639030456542,0.6954,0.611
9,0.8357487844467163,1.0278707885742187,0.7043,0.6575
10,0.7525577317237854,0.9444140405654907,0.7369,0.6565
11,0.7357504651069641,1.2857226991653443,0.7441,0.6035
12,0.7113792805671691,1.3013985395431518,0.751,0.6045
13,0.6695946496963501,0.9317868723869324,0.7678,0.698
14,0.6212479449272156,0.9147081437110901,0.7883,0.6745
15,0.6047828474998475,1.165203218460083,0.7898,0.6475
16,0.5874915409088135,1.2400066614151002,0.7972,0.6345
17,0.5515069793701172,0.9127292423248291,0.8065,0.7005
18,0.5295867043495178,0.9426806764602661,0.8179,0.6955
19,0.49724542961120605,0.9889177980422974,0.826,0.7
20,0.43612692532539366,0.9866572198867798,0.8485,0.702
21,0.45623081512451175,0.9714342842102051,0.8416,0.693
22,0.36686623532772067,0.8473353328704833,0.8766,0.7325
23,0.284206862783432,0.9065523829460144,0.9058,0.739
24,0.25966667640209196,0.8951479644775391,0.9135,0.7445
25,0.2200653671979904,0.9641376261711121,0.9253,0.7345
26,0.20400262925624849,1.006645495414734,0.932,0.7315
27,0.17131852974891662,0.9272556657791138,0.9452,0.753
28,0.1756923293352127,0.9441256990432739,0.9377,0.7495
29,0.13499485149383544,1.0287401514053345,0.9549,0.7405
30,0.13502530269622803,1.017665301322937,0.9532,0.7505
