name,model_type,seq_length,hidden_size,num_layers,fc_size,dropout,epochs,train_loss,val_loss,val_accuracy,val_top3_accuracy,val_top5_accuracy,best_val_accuracy,best_val_top1_at_top3,best_val_top3_accuracy,best_val_top5_accuracy,best_epoch,val_perplexity,training_time_sec,params,model_size_MB,rough_complexity
base,LSTM,20,128,1,128,0.0,10,1.5208209893107414,1.5646154354015986,0.524609375,0.7466796875,0.8338541666666667,0.527734375,0.524609375,0.7466796875,0.8338541666666667,10,4.780836042038663,193.3671452999115,164542,0.6276779174804688,2621440
base,GRU,20,128,1,128,0.0,10,1.5415052396059037,1.587945638100306,0.5262369791666667,0.73828125,0.8263671875,0.5262369791666667,0.51875,0.7395833333333334,0.8249348958333333,7,4.893685194178023,471.89235520362854,131518,0.5017013549804688,1966080
base,LSTM,30,128,1,128,0.0,10,1.524548499584198,1.5801931301752725,0.5253255208333333,0.7450520833333333,0.8327473958333333,0.5253255208333333,0.5253255208333333,0.7450520833333333,0.8327473958333333,10,4.8558935402531676,238.55090022087097,164542,0.6276779174804688,3932160
base,GRU,30,128,1,128,0.0,10,1.5394404876232146,1.6119708647330602,0.5201822916666666,0.7276692708333333,0.8236979166666667,0.5219401041666667,0.5161458333333333,0.7296223958333333,0.8211588541666667,8,5.0126808146642805,280.12213253974915,131518,0.5017013549804688,2949120
small_hidden,LSTM,20,64,1,64,0.0,10,1.6223637643456459,1.653898952404658,0.5098307291666667,0.7274739583333333,0.8203776041666667,0.5109375,0.5098307291666667,0.7274739583333333,0.8203776041666667,10,5.22732122299624,153.92491793632507,45438,0.17333221435546875,655360
small_hidden,GRU,20,64,1,64,0.0,10,1.6288746267557144,1.6570696632067363,0.5097005208333333,0.7266276041666667,0.8158854166666667,0.5097005208333333,0.5097005208333333,0.7266276041666667,0.8158854166666667,10,5.243921850851222,247.9684431552887,37118,0.14159393310546875,491520
two_layers,LSTM,20,128,2,128,0.2,10,1.5844091403484344,1.575533433755239,0.5244791666666667,0.7400390625,0.8287760416666666,0.5244791666666667,0.5244791666666667,0.7400390625,0.8287760416666666,10,4.833319186172001,443.6206123828888,296638,1.1315841674804688,5242880
two_layers,GRU,20,128,2,128,0.2,10,1.6321052360534667,1.6174933681885402,0.5155598958333333,0.7326822916666667,0.8236979166666667,0.5155598958333333,0.5155598958333333,0.7326822916666667,0.8236979166666667,10,5.0404399411706216,537.5221812725067,230590,0.8796310424804688,3932160
seq50,LSTM,50,128,1,128,0.0,10,1.527103196978569,1.5680251985788345,0.5229817708333333,0.7464192708333334,0.8342447916666667,0.5229817708333333,0.5229817708333333,0.7464192708333334,0.8342447916666667,10,4.797165384505466,293.1322650909424,164542,0.6276779174804688,6553600
seq50,GRU,50,128,1,128,0.0,10,1.5489650037884712,1.5918228099743525,0.5202473958333333,0.7326822916666667,0.8280598958333333,0.5202473958333333,0.5195963541666667,0.7365885416666667,0.8287109375,9,4.912695682423966,318.00917172431946,131518,0.5017013549804688,4915200
