epoch,sample_metric_score,sample_char_bleu4,sample_sequence_similarity
15,0.19881390289063805,0.10960684573752594,0.3568282286124485
20,0.22507094424919374,0.13024888801753748,0.37928822492662506
25,0.23099381999245874,0.1318368842069482,0.3966277431420422
30,0.2592874405308143,0.15640529802239178,0.4115285700336902
35,0.28472211868271,0.17800997660342333,0.4268485683171467
40,0.2883685907164896,0.1823372029940411,0.42412555088979403
45,0.3048917538458318,0.19400976208525125,0.44352796704232206
50,0.3032417937560995,0.19362873169927358,0.43845224822730355
55,0.2984849627248882,0.19158407809655426,0.427603538513336
60,0.2952102249353444,0.18611117865603072,0.43639618511725464
65,0.2996598329125966,0.1897379019820255,0.4396877237222845
