source,model_type,seq_length,hidden_size,train_loss,val_loss,best_val_acc,best_last_step_val_acc,best_val_top5_acc,training_time_sec,params,model_size_MB,rough_complexity
Homework 2 RNN based,GRU,10,128,1.0416576862335205,1.0654385089874268,0.7721173763275146,0.9308176040649414,0.948427677154541,77.20038843154907,110637,0.4220466613769531,983040
Homework 2 RNN based,LSTM,10,128,1.0284032821655271,1.0772581100463867,0.7691823840141296,0.9287211894989014,0.947379469871521,75.1856517791748,143661,0.5480232238769531,1310720
Homework 2 RNN based,RNN,10,128,1.1545562744140625,1.169113039970398,0.7419286966323853,0.9119496941566468,0.9442347884178162,53.5949022769928,44589,0.1700935363769531,327680
Homework 2 RNN based,GRU,20,128,0.7810745239257812,0.756811261177063,0.8830526471138,0.9894737005233764,0.9749473929405212,185.6437575817108,110637,0.4220466613769531,1966080
Homework 2 RNN based,LSTM,20,128,0.8214580416679382,0.7879859209060669,0.8778947591781616,0.9915789365768432,0.972631573677063,143.05845069885254,143661,0.5480232238769531,2621440
Homework 2 RNN based,RNN,20,128,0.8872140645980835,0.8483641147613525,0.8652631640434265,0.985263168811798,0.9702105522155762,95.7170112133026,44589,0.1700935363769531,655360
Homework 2 RNN based,GRU,30,128,0.7206193208694458,0.6654493808746338,0.9210007190704346,0.9830867052078248,0.982311487197876,204.0598692893982,110637,0.4220466613769531,2949120
Homework 2 RNN based,LSTM,30,128,0.73811936378479,0.6851366758346558,0.917195200920105,0.9830867052078248,0.9812543988227844,237.99627804756165,143661,0.5480232238769531,3932160
Homework 2 RNN based,RNN,30,128,0.787670373916626,0.7366476058959961,0.9042283296585084,0.985200822353363,0.9794926047325134,172.26191997528076,44589,0.1700935363769531,983040
Homework 4 Transformer,Transformer,10,32,0.6619712076187134,0.5878894925117493,0.9126666666666666,0.26666666666666666,0.9639999866485596,6.51163387298584,11469,0.043750762939453125,26880
Homework 4 Transformer,Transformer,20,32,0.5960383095741272,0.47314268350601196,0.9466666666666667,0.24666666666666667,0.9769999980926514,9.322791337966919,11469,0.043750762939453125,66560
Homework 4 Transformer,Transformer,30,32,0.5864199132919311,0.4028280973434448,0.966,0.17333333333333334,0.9857777953147888,17.229398488998413,11469,0.043750762939453125,119040
