source,model_type,name,seq_length,hidden_size,num_layers,nhead,train_loss,val_loss,best_val_accuracy,best_val_top3_accuracy,best_val_top5_accuracy,val_perplexity,training_time_sec,params,model_size_MB,rough_complexity
Homework 2 RNN based,LSTM,base,20,128,1,,1.5208209893107414,1.5646154354015986,0.527734375,0.7466796875,0.8338541666666667,4.780836042038663,193.3671452999115,164542,0.6276779174804688,2621440
Homework 2 RNN based,GRU,base,20,128,1,,1.5415052396059037,1.587945638100306,0.5262369791666667,0.7395833333333334,0.8249348958333333,4.893685194178023,471.8923552036285,131518,0.5017013549804688,1966080
Homework 2 RNN based,LSTM,base,30,128,1,,1.524548499584198,1.5801931301752723,0.5253255208333333,0.7450520833333333,0.8327473958333333,4.855893540253168,238.55090022087097,164542,0.6276779174804688,3932160
Homework 2 RNN based,GRU,base,30,128,1,,1.5394404876232146,1.6119708647330602,0.5219401041666667,0.7296223958333333,0.8211588541666667,5.0126808146642805,280.12213253974915,131518,0.5017013549804688,2949120
Homework 2 RNN based,LSTM,small_hidden,20,64,1,,1.622363764345646,1.653898952404658,0.5109375,0.7274739583333333,0.8203776041666667,5.22732122299624,153.92491793632507,45438,0.1733322143554687,655360
Homework 2 RNN based,GRU,small_hidden,20,64,1,,1.6288746267557144,1.6570696632067363,0.5097005208333333,0.7266276041666667,0.8158854166666667,5.243921850851222,247.9684431552887,37118,0.1415939331054687,491520
Homework 2 RNN based,LSTM,two_layers,20,128,2,,1.5844091403484344,1.575533433755239,0.5244791666666667,0.7400390625,0.8287760416666666,4.833319186172001,443.6206123828888,296638,1.1315841674804688,5242880
Homework 2 RNN based,GRU,two_layers,20,128,2,,1.6321052360534667,1.6174933681885402,0.5155598958333333,0.7326822916666667,0.8236979166666667,5.0404399411706216,537.5221812725067,230590,0.8796310424804688,3932160
Homework 2 RNN based,LSTM,seq50,50,128,1,,1.527103196978569,1.5680251985788345,0.5229817708333333,0.7464192708333334,0.8342447916666667,4.797165384505466,293.1322650909424,164542,0.6276779174804688,6553600
Homework 2 RNN based,GRU,seq50,50,128,1,,1.5489650037884712,1.5918228099743523,0.5202473958333333,0.7365885416666667,0.8287109375,4.912695682423966,318.00917172431946,131518,0.5017013549804688,4915200
Homework 4 Transformer,Transformer,arch_s20,20,96,1,2,2.0283728968013417,1.9924815952777863,0.41953125,0.657421875,0.752734375,7.333710500674474,75.99091529846191,86557,0.3301887512207031,445440
Homework 4 Transformer,Transformer,arch_s20,20,128,1,4,1.934209983999079,1.9367267370224,0.435546875,0.662890625,0.76484375,6.936010386974066,466.30442214012146,148157,0.5651741027832031,757760
Homework 4 Transformer,Transformer,arch_s20,20,96,2,2,1.916362055865201,1.9248127281665801,0.446875,0.667578125,0.767578125,6.853865009840213,228.30031871795654,161341,0.6154670715332031,890880
Homework 4 Transformer,Transformer,arch_s20,20,128,2,4,1.9436255411668257,1.949750417470932,0.426171875,0.660546875,0.768359375,7.02693356186222,252.22233748435974,280637,1.0705451965332031,1515520
Homework 4 Transformer,Transformer,arch_s20,20,96,4,2,1.9640032161365857,1.954308843612671,0.43203125,0.65546875,0.76640625,7.0590384377667625,316.34097480773926,310909,1.1860237121582031,1781760
Homework 4 Transformer,Transformer,arch_s20,20,128,4,4,2.0769690080122514,2.0367433369159698,0.411328125,0.6296875,0.745703125,7.665604214312315,515.9128329753876,545597,2.081287384033203,3031040
Homework 4 Transformer,Transformer,base_s30,30,96,2,2,1.9758125868710605,1.8459030389785767,0.455078125,0.675,0.788671875,6.33381689216748,289.9564697742462,161341,0.6154670715332031,1451520
Homework 4 Transformer,Transformer,seq50,50,128,2,4,2.016285228729248,2.0228302478790283,0.403125,0.6421875,0.758203125,7.55969048245438,1264.917052745819,280637,1.0705451965332031,4556800
